投诉编号,投诉品牌,投诉车系,问题简述,典型问题,投诉时间,投诉状态
479298,吉利汽车,2020款 1.8TD DCT 智领PRO,吉利博越实车配置与宣传不符要求处理,销售欺诈与宣传不符,2020-06-21 09:49:23.630,用户评分
479295,上汽大众,2019款 280TSI DSG 舒适版 国VI,上汽大众朗逸挂倒挡时变速箱有异响,变速器异响,2020-06-21 09:49:23.641,处理反馈
479294,一汽-大众,2014款 1.4TSI 自动 舒适型,一汽大众宝来天窗漏水变速箱刹车异响,变速器异响变速器顿挫制动系统异响车身附件及电器天窗漏水,2020-06-21 09:49:23.653,处理反馈
479293,北京现代,2019款 1.4T 双离合 炫动·活力型,北京现代领动变速箱脱挡异响要求延保,变速器异响变速器脱挡,2020-06-21 09:49:23.663,用户评分
479291,广汽丰田,2020款 1.5L CVT 领先版,广汽丰田劲炫行驶中底盘异响4S店无法解决,前后桥及悬挂系统底盘异响,2020-06-21 09:49:23.676,用户评分
479289,上汽通用别克,2019款 20T 精英型 国V,别克君威低速熄火抖动4S店无法告知原因,发动机抖动发动机熄火,2020-06-21 09:49:23.687,处理反馈
479287,上汽大众,2017款 1.6L 自动 舒适版,上汽大众朗逸行驶中发动机舱着火自燃,车身附件及电器车辆自燃,2020-06-21 09:49:23.696,处理反馈
479284,东风雪铁龙,2017款 380THP 尊贵型,东风雪铁龙C6发动机间歇性抖动,发动机抖动,2020-06-21 09:49:23.710,处理反馈
479283,长城汽车,2020款 2.0GDIT 自动 铂金豪华版,哈弗H6变速箱异响后悬挂异响厂家否认问题,变速器异响转向系统卡滞前后桥及悬挂系统悬挂故障服务态度否认质量问题,2020-06-21 09:49:23.720,用户评分
479280,吉利汽车,2017款 1.8T 旗舰4G型,吉利博瑞行驶时变速箱顿挫升级后未能解决,变速器顿挫,2020-06-21 09:49:23.730,用户评分
479278,吉利汽车,2016款 1.5L 自动 幸福版,吉利远景变速箱失灵要求免费维修,变速器机械部件故障,2020-06-21 09:49:23.741,用户评分
479277,广汽菲克Jeep,2018款 互联大屏版 180T 自动 高能版,广汽菲克Jeep自由侠低速时变速箱异响,变速器异响,2020-06-21 09:49:23.752,厂家受理
479275,江铃汽车,2017款 2.8T 商运型 短轴 中顶 6/7/8座 JX493,江铃特顺轮胎向外突出误差太大影响安全,前后桥及悬挂系统悬挂故障,2020-06-21 09:49:23.762,用户评分
479271,东风标致,2013款 1.6T 自动 THP至尚版,东风标致3008发动机烧机油 节温器损坏,发动机烧机油发动机冷却系统故障,2020-06-21 09:49:23.772,用户评分
479270,广汽三菱,2019款 2.0L 两驱 畅享版 5座 国VI,广汽三菱欧蓝德加满油后行驶时顿挫,车身附件及电器汽油泵故障,2020-06-21 09:49:23.785,处理反馈
479263,一汽-大众,2015款 1.6L 手动 时尚型 质惠版,一汽大众宝来左右两侧半轴位置有油渍,前后桥及悬挂系统半轴渗油,2020-06-21 09:49:23.798,处理反馈
479261,东风本田,2016款 220TURBO 自动 豪华版,东风本田思域优科豪马轮胎开裂掉皮,轮胎起皮,2020-06-21 09:49:23.812,处理反馈
479260,比亚迪,2019款 1.5T 自动 精英型,比亚迪宋Pro隔音棉配置与厂家宣传不符,销售欺诈与宣传不符,2020-06-21 09:49:23.825,用户评分
479259,一汽马自达,2020款 2.5L 蓝天尊崇版,一汽马自达阿特兹驾驶侧A柱异响,车身附件及电器车身异响其他疑似设计缺陷,2020-06-21 09:49:23.837,处理反馈
479257,上汽大众,2019款 330TSI 自动 两驱 智动豪华版 国VI,上汽大众途观L后备箱感应门不灵敏,车身附件及电器门窗异响车身附件及电器后备箱故障,2020-06-21 09:49:23.847,处理反馈
479255,长安福特,2013款 1.5 自动 尊贵型,长安福特翼搏变速箱无法升挡希望厂家处理,发动机异响变速器顿挫变速器无法换挡车身附件及电器车身漏水,2020-06-21 09:49:23.857,用户评分
479254,一汽丰田,2019款 1.2T S-CVT GL-i精英版,一汽丰田卡罗拉发动机怠速不稳 变速箱顿挫,发动机怠速不稳变速器顿挫车身附件及电器车身异响,2020-06-21 09:49:23.867,信息审核
479253,一汽丰田,2019款 双擎 2.5L 豪华版 国Ⅵ,一汽丰田亚洲龙维修后轮毂内侧出现刮伤,车身附件及电器轮毂问题人员技术修出新问题,2020-06-21 09:49:23.880,信息审核
479250,广汽本田,2016款 2.0L CVT  舒适版,广汽本田雅阁避震下沉更换后行驶右倾严重,前后桥及悬挂系统悬挂故障,2020-06-21 09:49:23.892,用户评分
479247,长城汽车,2019款 2.0T 两驱 升级款超豪型 国V,WEY VV5空调不制冷维修后未解决,车身附件及电器空调问题,2020-06-21 09:49:23.902,用户评分
479246,北汽新能源,2017款 EC180 灵动版,北汽新能源EC刹车卡钳锈死存在质量缺陷,制动系统异响制动系统刹车泵故障,2020-06-21 09:49:23.911,用户评分
479245,一汽丰田,2016款 1.6L CVT  GL-i炫酷版,一汽丰田卡罗拉起步变速箱顿挫要求处理,变速器顿挫,2020-06-21 09:49:23.922,信息审核
479243,上汽集团,2020款 500PHEV 智能座舱至尊版,上汽荣威RX5 eMAX经销商出售生锈库存车,车身附件及电器车身生锈销售欺诈出售库存车,2020-06-21 09:49:23.930,处理反馈
479239,东风本田,2012款 2.4 四驱 尊贵版,东风本田CR-V车身抖动希望厂家处理,车身附件及电器车身共振,2020-06-21 09:49:23.941,处理反馈
479238,吉利汽车,2019款 260T DCT 骑士 国V,吉利缤越车机系统不予升级 行驶风噪大,车身附件及电器门窗漏风承诺不兑现销售承诺不兑现承诺不兑现服务承诺不兑现,2020-06-21 09:49:23.951,用户评分
479236,广汽丰田,2013款 2.0 自动 舒适版,广汽丰田凯美瑞发动机漏油异响,发动机异响发动机漏油,2020-06-21 09:49:25.375,处理反馈
479235,东风标致,2014款 乐享版 经典 1.6L 自动 风尚型,东风标致308变速箱电磁阀故障有安全隐患,变速器滑阀箱故障,2020-06-21 09:49:25.385,处理反馈
479234,猎豹汽车,2018款 EV300 精英版,猎豹CS9新能源倒车影像失灵无法正常使用,车身附件及电器影音系统故障,2020-06-21 09:49:25.397,信息审核
479229,东风日产,2016款 1.6XL CVT 尊享版,东风日产轩逸刹车失灵影响驾驶安全,制动系统刹车失灵制动系统故障灯亮,2020-06-21 09:49:25.413,用户评分
479228,北京现代,2016款 1.6T 双离合 两驱 智能型 GLS,北京现代ix25行驶时减震器异响 变速箱拖挡,变速器拖挡前后桥及悬挂系统减震器异响前后桥及悬挂系统行驶中颠簸,2020-06-21 09:49:25.424,处理反馈
479225,东风日产,2011款 1.5L 手动 XE 舒适版,东风日产阳光离合踏板与离合器总泵脱开连接,离合器离合器失效,2020-06-21 09:49:25.435,处理反馈
479224,沃尔沃亚太,2019款 S60L 改款 T5 智进进阶版,亚太沃尔沃S60大灯渗水严重要求解决,车身附件及电器车灯进水,2020-06-21 09:49:25.445,信息审核
479223,上汽通用雪佛兰,2018款 530T 豪华版,雪佛兰迈锐宝两侧大灯进水右侧大灯不亮,车身附件及电器车灯进水车身附件及电器车灯不亮,2020-06-21 09:49:25.455,用户评分
479220,广汽乘用车,2015款 200T 手动 豪华版,广汽传祺GS4左右下摆臂胶套开裂,前后桥及悬挂系统下摆臂故障,2020-06-21 09:49:25.466,处理反馈
479218,北京现代,2018款 1.6L 自动 悦目版 GL 国V,北京现代悦动后挡风玻璃水槽及车顶生锈,发动机抖动车身附件及电器车身生锈车身附件及电器漆面起泡开裂车身附件及电器雨刮器故障,2020-06-21 09:49:25.478,处理反馈
479215,一汽马自达,2020款 2.5L 蓝天运动版,一汽马自达阿特兹车身异响 B柱异响,车身附件及电器车身异响,2020-06-21 09:49:25.490,处理反馈
479214,东风日产,2020款 2.0L XL 舒适版,东风日产天籁行驶中左前门漏风严重,车身附件及电器门窗漏风,2020-06-21 09:49:25.502,处理反馈
479213,上汽大通,2019款 1.5T 自动 尊享版 6座,上汽MAXUS D60电动尾门无法正常上锁,车身附件及电器后备箱故障,2020-06-21 09:49:25.515,处理反馈
479212,长安汽车,2018款 1.6L 手动 智享型,长安逸动DT经销商态度极差将车辆扣留,服务态度态度蛮横,2020-06-21 09:49:25.527,处理反馈
479211,上汽大众,2017款 280TSI DSG 豪华版,上汽大众凌渡天窗装饰盖板无故断裂,车身附件及电器部件开裂,2020-06-21 09:49:25.537,用户评分
479210,上汽大众,2020款 330TSI 两驱 豪华版 国VI,上汽大众途昂4S店首保更换机油级别错误,人员技术操作不规范,2020-06-21 09:49:25.548,用户评分
479209,一汽马自达,2020款 2.0L 蓝天豪华版,一汽马自达阿特兹行驶过程中B柱哒哒异响,车身附件及电器车身异响,2020-06-21 09:49:25.559,用户评分
479208,东风日产,2016款 1.6XV CVT 智享版,东风日产轩逸变速箱换挡异响希望解决,变速器异响,2020-06-21 09:49:25.573,用户评分
479207,东风雪铁龙,2014款 1.6THP 自动 车载互联劲智型,东风雪铁龙C4L冷车启正时链条异响,发动机异响发动机正时链条及齿轮故障,2020-06-21 09:49:25.585,用户评分
479206,一汽马自达,2020款 2.5L 蓝天运动版,一汽马自达阿特兹A柱异响 B柱异响,车身附件及电器车身异响服务态度不解决问题,2020-06-21 09:49:25.594,用户评分
479203,一汽马自达,2020款 2.5L 蓝天尊崇版,一汽马自达阿特兹车身B柱异响中控异响,车身附件及电器中控台异响车身附件及电器车身异响车身附件及电器天窗异响,2020-06-21 09:49:25.603,用户评分
479202,上汽通用雪佛兰,2019款 330T 自动 畅快版 RS 国VI,雪佛兰科鲁泽车辆在其他4S店查询不到信息,销售欺诈出售问题车,2020-06-21 09:49:25.617,处理反馈
479201,一汽大众,2020款 1.4T 自动 荣耀型,捷达VS7挡风玻璃处漏水导致涡轮增压器生锈,车身附件及电器车身生锈车身附件及电器车身漏水,2020-06-21 09:49:25.627,处理反馈
479200,一汽丰田,2013款 2.0L 自动 两驱 都市版,一汽丰田RAV4荣放转向卡滞厂家未回复,转向系统异响转向系统卡滞服务态度厂家不回复,2020-06-21 09:49:25.637,信息审核
479198,长安汽车,2017款 180公里 标准型,长安奔奔EV启动时仪表提示动力电池故障,车身附件及电器动力电池故障服务流程不完善服务网点少,2020-06-21 09:49:25.645,处理反馈
479197,吉利汽车,2019款 1.5TD MHEV DCT 臻享型,吉利嘉际车机无法升级 前桥方向机异响,转向系统异响前后桥及悬挂系统前后桥异响车身附件及电器车载互联故障服务流程不完善系统升级问题,2020-06-21 09:49:25.658,用户评分
479194,长安标致雪铁龙DS,2014款 1.6T 自动 雅致版 THP160,长安标致雪铁龙DS 5LS发动机气门室盖处漏油,发动机漏油,2020-06-21 09:49:25.670,信息审核
479193,广汽本田,2014款 1.5L CVT LX舒适型,广汽本田飞度ABS泵故障有异响厂家未解决,制动系统异响制动系统ABS故障服务态度不解决问题,2020-06-21 09:49:25.681,用户评分
479192,北京奔驰,2018款 200 动感型,北京奔驰GLA轮胎吃胎偏磨影响使用寿命,前后桥及悬挂系统吃胎偏磨,2020-06-21 09:49:25.707,用户评分
479190,东风悦达起亚,2016款 1.6T 自动 两驱DLX,东风悦达起亚KX5热敏电阻故障 空调不制冷,车身附件及电器空调问题,2020-06-21 09:49:25.718,处理反馈
479187,广汽三菱,2018款 2.0L CVT 两驱 智橙版,广汽三菱劲炫触摸屏死机厂家未回复,车身附件及电器影音系统故障服务态度不予索赔服务态度厂家不回复,2020-06-21 09:49:26.637,处理反馈
479185,广汽乘用车,2015款 2.0L 自动 两驱 豪华导航版,广汽传祺GS5 Super两前刹车分泵损坏,制动系统刹车泵故障,2020-06-21 09:49:26.650,用户评分
479183,上汽通用别克,2017款 15S 自动 领先型 三厢,别克威朗主驾驶座椅塌陷存在质量问题,车身附件及电器座椅故障,2020-06-21 09:49:26.663,处理反馈
479182,长城汽车,2014款 1.5T 时尚型,长城C50燃油泵异响维修后没有解决,车身附件及电器汽油泵故障,2020-06-21 09:49:26.675,用户评分
479181,吉利汽车,2019款 改款 350T 驭星者,吉利星越车机系统与宣传不符方向盘异响,转向系统异响销售欺诈与宣传不符,2020-06-21 09:49:26.688,用户评分
479177,广汽菲克菲亚特,2012款 1.4T 自动 尊享版,广汽菲克菲亚特菲翔里程表闪烁蓝牙无法连接,车身附件及电器车载互联故障车身附件及电器仪表故障,2020-06-21 09:49:26.711,厂家受理
479174,东风日产,2016款 2.0L XL 舒适版 改款,东风日产天籁转动方向盘时存在异响,转向系统异响,2020-06-21 09:49:26.722,处理反馈
479172,开瑞汽车,2018款 40kWh磷酸铁锂动力电池组车型,开瑞优优EV售后更换电路配件后无法行驶,车身附件及电器电路故障,2020-06-21 09:49:26.732,处理反馈
479170,上汽通用别克,2019款 28T 豪华型,别克君越加速时发动机存在明显异响,发动机异响,2020-06-21 09:49:26.749,用户评分
479167,东风标致,2018款 350THP 精英版,东风标致4008发动机启动时异响严重,发动机异响,2020-06-21 09:49:26.760,处理反馈
479166,广汽丰田,2018款 2.5HG E-CVT 豪华版,广汽丰田凯美瑞机油增多厂家未回复,发动机机油增多服务态度厂家不回复,2020-06-21 09:49:26.771,用户评分
479164,一汽-大众,2015款 230TSI  自动 舒适型,一汽大众速腾行驶中挡位灯闪烁失去动力,变速器故障灯亮变速器无法加速变速器滑阀箱故障,2020-06-21 09:49:26.782,处理反馈
479163,北京现代,2019款 1.4T 双离合 炫动·活力型,北京现代领动锦湖轮胎鼓包漆面起泡开裂,轮胎鼓包车身附件及电器漆面起泡开裂,2020-06-21 09:49:26.791,处理反馈
479161,上汽大众,2016款 300TSI 自动 两驱 豪华版,上汽大众途观天窗漏水 转向异响,转向系统异响车身附件及电器天窗漏水,2020-06-21 09:49:26.801,处理反馈
479158,一汽-大众奥迪,2016款 30 FSI CVT 舒适型,一汽大众奥迪A6L防冻液渗漏希望厂家处理,发动机漏防冻液发动机水泵故障,2020-06-21 09:49:26.814,信息审核
479157,广汽本田,2020款 锐·混动 2.0L 两驱 锐·幻夜版,广汽本田皓影支付定金后一直提不到车,承诺不兑现提不到车,2020-06-21 09:49:26.827,用户评分
479155,路虎进口,2013款 3.0T 自动 HSE柴油版,进口路虎发现发动机故障报警 厂家不予解决,发动机故障灯亮服务态度不解决问题,2020-06-21 09:49:26.840,用户评分
479154,东风日产,2017款 2.0L CVT 智享版 国V,东风日产逍客变速箱漏油希望尽快解决,变速器漏油,2020-06-21 09:49:26.851,处理反馈
479152,福田汽车,2018款 1.2L 半承载 3070轴距双排(平板)LJ469Q-1AE9,北汽福田祥菱后桥渗油 油箱管破裂,发动机漏油前后桥及悬挂系统前后桥异响车身附件及电器汽油箱漏油,2020-06-21 09:49:26.861,处理反馈
479150,长城汽车,2017款 1.5T 手动 两驱豪华型 红标,哈弗H2变速箱有异响 4S店不予解决,变速器顿挫服务态度不解决问题,2020-06-21 09:49:26.872,处理反馈
479149,沃尔沃亚太,2020款 T5 智逸豪华版,亚太沃尔沃S90行驶中发动机故障灯亮,发动机故障灯亮,2020-06-21 09:49:26.882,信息审核
479144,一汽马自达,2020款 2.5L 蓝天运动版,一汽马自达阿特兹中控屏A柱和B柱有异响,车身附件及电器影音系统故障车身附件及电器门窗异响车身附件及电器车身异响,2020-06-21 09:49:26.890,用户评分
479142,一汽大众,2019款 280TSI 自动 荣耀型,捷达VS5前挡风玻璃处漏水 涡轮增压器生锈,车身附件及电器车身生锈车身附件及电器车身漏水,2020-06-21 09:49:26.898,用户评分
479140,一汽-大众,2016款 1.6L  自动 舒适型,一汽大众高尔夫变速箱换挡顿挫要求升级,变速器顿挫,2020-06-21 09:49:26.912,用户评分
479139,东风标致,2014款 1.8L 自动 豪华版,东风标致408行驶中后桥异响声越来越严重,前后桥及悬挂系统前后桥异响,2020-06-21 09:49:26.930,用户评分
479134,东风日产,2017款 2.0L CVT 精英版 国V,东风日产逍客4S店态度差变相收费,服务态度态度蛮横服务收费变相收费,2020-06-21 09:49:26.941,用户评分
479133,东风标致,2018款 350THP 自动 豪华版 改款,东风标致408供油管配件发送错误,配件争议未按时到货,2020-06-21 09:49:26.951,用户评分
479132,北汽昌河,2018款 1.5L CVT 豪华版,北汽昌河A6变速箱故障灯亮 车身有色差,变速器故障灯亮变速器无法加速前后桥及悬挂系统车轮异响车身附件及电器车身有色差服务态度态度蛮横,2020-06-21 09:49:26.959,用户评分
479131,一汽马自达,2020款 2.5L 蓝天尊崇版,一汽马自达阿特兹行驶中车身AB柱异响,车身附件及电器车身异响,2020-06-21 09:49:26.969,处理反馈
479130,华晨中华,2013款 1.5L 自动 豪华型,华晨中华H330左后轮轮毂破损希望尽快处理,车身附件及电器轮毂问题,2020-06-21 09:49:26.979,信息审核
479129,上汽通用别克,2011款 1.6 自动 LX,别克凯越中控面板翘起存在安全隐患,车身附件及电器仪表台开裂,2020-06-21 09:49:27.871,用户评分
479128,上汽通用凯迪拉克,2018款 28T 两驱 领先型,凯迪拉克XT4刹车不平顺 驾驶座倾斜,制动系统刹车偏软车身附件及电器座椅故障,2020-06-21 09:49:27.881,处理反馈
479127,上汽斯柯达,2016款 TSI280 DSG 创行版,斯柯达速派变速箱挡把总成故障,变速器挡把总成故障,2020-06-21 09:49:27.894,用户评分
479126,比亚迪,2019款 1.5T 自动 豪华型,比亚迪宋Pro无车道保持功能 车灯减配,承诺不兑现服务承诺不兑现销售欺诈与宣传不符,2020-06-21 09:49:27.907,用户评分
479125,上汽通用别克,2011款 1.6 手动 LE,别克凯越中控仪表台脱胶开裂存在安全隐患,车身附件及电器仪表台开裂,2020-06-21 09:49:27.918,用户评分
479122,广汽丰田,2015款 2.0G 自动 领先版,广汽丰田凯美瑞左右两侧半轴漏油严重,前后桥及悬挂系统半轴渗油,2020-06-21 09:49:27.935,处理反馈
479121,广汽三菱,2019款 2.4L 四驱 致享版 5座 国VI,广汽三菱欧蓝德变速箱拖挡一直未解决,变速器拖挡,2020-06-21 09:49:27.946,处理反馈
479120,广汽菲克Jeep,2019款 220T 自动 家享版,广汽菲克Jeep指南者发动机抖动 变速箱异响,发动机抖动变速器异响,2020-06-21 09:49:27.960,用户评分
479119,上汽大众,2018款 330TSI 自动 两驱 豪华版,上汽大众途观L变速箱控制单元故障挡位错乱,变速器滑阀箱故障,2020-06-21 09:49:27.970,处理反馈
479115,上汽大众,2015款 330TSI DSG 舒适版,上汽大众凌渡天窗边框开裂一直未解决,车身附件及电器部件开裂,2020-06-21 09:49:27.980,处理反馈﻿投诉编号,投诉品牌,投诉车系,问题简述,典型问题,投诉时间,投诉状态
479114,一汽丰田,2014款 1.6L 手动 GLX-i,一汽丰田卡罗拉安全气囊报警 压缩机漏冷媒,车身附件及电器空调问题车身附件及电器气囊故障,2020-06-21 09:49:27.997,信息审核
479109,东风日产,2019款 1.6XL CVT 豪华版 经典,东风日产轩逸发动机在运转时有金属敲击声,发动机异响,2020-06-21 09:49:28.009,用户评分
479108,众泰汽车,2015款 2.0T 自动 尊贵型,众泰T600更换离合器后电磁阀损坏,变速器滑阀箱故障,2020-06-21 09:49:28.020,处理反馈
479106,一汽-大众,2019款 改款 1.5L 自动 时尚型 国V,一汽大众宝来变速箱顿挫希望厂家处理,变速器顿挫,2020-06-21 09:49:28.031,处理反馈
479102,福田汽车,2007款 欧马可N BJ1049V8AD6-3,福田欧马可经销商出售库存车要求解决,销售欺诈出售问题车,2020-06-21 09:49:28.043,厂家受理
479101,上汽通用别克,2019款 15T 双离合 进取型 国Ⅵ,别克英朗新车半轴生锈存在质量问题,车身附件及电器车身生锈,2020-06-21 09:49:28.055,处理反馈
479099,特斯拉中国,2019款 标准续航 后驱 升级版,特斯拉Model3电机功率下降 刹车失灵,发动机电动机故障制动系统刹车失灵,2020-06-21 09:49:28.066,信息审核
479097,上汽斯柯达,2014款 1.4TSI DSG 极地版,斯柯达Yeti变速器机电控制器损坏,变速器滑阀箱故障,2020-06-21 09:49:28.077,处理反馈
479096,上汽通用五菱,2016款 1.8L 手动 超值型,宝骏560 4S店更换车身未备案导致无法过户,人员技术操作不规范配件争议未更换定损配件,2020-06-21 09:49:28.090,用户评分
479095,上汽通用雪佛兰,2017款 535T 自动 驭界版,雪佛兰探界者发动机四缸缺火存在质量问题,发动机功率不足,2020-06-21 09:49:28.102,用户评分
479093,上汽大众,2015款 330TSI DSG 舒适版,上汽大众凌渡变速箱奇数挡位丢失,变速器滑阀箱故障,2020-06-21 09:49:28.112,处理反馈
479092,长安凯程,2019款 单排 厢式 运输车 标准型 33.28kWh,长安凯程神骐T10新能源充电时间与宣传不符,销售欺诈与宣传不符,2020-06-21 09:49:28.122,厂家受理
479090,上汽斯柯达,2019款 TSI280 DSG 智行豪华版 国VI,斯柯达明锐变速箱异响 发动机烧机油,发动机烧机油变速器异响,2020-06-21 09:49:28.136,处理反馈
479088,广汽乘用车,2019款 270T 自动 两驱 豪华智联版,广汽传祺GS4制动异响 厂家否认质量问题,制动系统异响服务态度否认质量问题,2020-06-21 09:49:28.147,处理反馈
479087,长安福特,2018款 EcoBoost 245 两驱 豪锐型 7座 国V,长安福特锐界防冻液漏到发动机内部,发动机冷却系统故障服务态度不予索赔,2020-06-21 09:49:28.158,处理反馈
479086,一汽-大众,2019款 改款 1.5L 自动 舒适型 国VI,一汽大众宝来天窗排水管脱胶后备箱自动开启,车身附件及电器后备箱故障车身附件及电器天窗漏水,2020-06-21 09:49:28.167,处理反馈
479083,东风悦达起亚,2012款 2.0L 自动 DLX,东风悦达起亚K5凯酷发动机拉缸有异响,发动机异响发动机拉缸,2020-06-21 09:49:28.177,处理反馈
479079,吉利汽车,2013款 1.5L 手动 进取型 三厢,吉利经典帝豪车身生锈 行驶时变速箱有异响,变速器异响车身附件及电器车身生锈,2020-06-21 09:49:28.186,用户评分
479077,长安福特,2018款 EcoBoost 200 智控时尚型 国V,长安福特蒙迪欧车身漏电车辆无法解锁,车身附件及电器电路故障车身附件及电器中控锁故障服务态度态度蛮横,2020-06-21 09:49:28.199,处理反馈
479076,上汽通用雪佛兰,2013款 1.6L SL 自动 天地版,雪佛兰科鲁兹行驶过程中方向盘卡滞沉重,转向系统卡滞转向系统打方向沉重,2020-06-21 09:49:28.210,处理反馈
479075,上汽通用别克,2019款 20T 两驱 豪华型 国VI,别克昂科威低速行驶变速箱顿挫异响刹车异响,变速器异响变速器顿挫制动系统异响,2020-06-21 09:49:29.096,用户评分
479074,上汽大众,2019款 1.5L 自动 舒适版,上汽大众途铠行驶过程中前挡风玻璃破碎,车身附件及电器玻璃开裂,2020-06-21 09:49:29.107,用户评分
479071,吉利汽车,2019款 300T 耀星者,吉利星越开启空调后鼓风机出现异响,车身附件及电器空调问题,2020-06-21 09:49:29.120,用户评分
479068,比亚迪,2019款 1.5T 自动 豪华型,比亚迪宋Pro无L2驾驶辅助系统涉嫌欺诈,销售欺诈与宣传不符,2020-06-21 09:49:29.134,用户评分
479066,上汽大众,2019款 280TSI DSG 舒适版 国V,上汽大众凌渡发动机故障灯亮碳罐故障,发动机故障灯亮车身附件及电器油箱有缺陷,2020-06-21 09:49:29.144,处理反馈
479063,一汽马自达,2020款 2.0L 蓝天豪华版,一汽马自达阿特兹车身异响厂家未回复,车身附件及电器车身异响服务态度厂家不回复,2020-06-21 09:49:29.156,用户评分
479062,广汽三菱,2019款 2.0L 两驱 畅享版 5座 国VI,广汽三菱欧蓝德左后方安全带无法抽出,车身附件及电器安全带故障,2020-06-21 09:49:29.167,用户评分
479061,上汽通用别克,2016款 20T 双离合  两驱精英型,别克昂科威变速箱异响存在安全隐患,变速器异响,2020-06-21 09:49:29.196,用户评分
479058,北京现代,2015款 1.6L 自动 两驱 尊贵型 DLX 5座,北京现代ix25承诺20天修好一直拖延未处理,承诺不兑现服务承诺不兑现,2020-06-21 09:49:29.209,处理反馈
479056,广汽乘用车,2017款 320T 两驱 豪华智联版（七座）,广汽传祺GS8座椅塌陷希望尽快解决,车身附件及电器座椅故障,2020-06-21 09:49:29.221,用户评分
479055,广汽本田,2020款 240TURBO CVT 两驱 精英版,广汽本田皓影销售承诺未兑现存在欺诈行为,承诺不兑现销售承诺不兑现,2020-06-21 09:49:29.235,用户评分
479054,一汽-大众,2019款 280TSI DSG 豪华型 国VI,一汽大众速腾上坡溜车 变速箱异响且顿挫,变速器异响变速器顿挫前后桥及悬挂系统悬挂故障前后桥及悬挂系统减震器过硬车身附件及电器行车安全辅助系统故障,2020-06-21 09:49:29.244,处理反馈
479050,一汽海马,2015款 1.6L 手动 风尚型,一汽海马福美来空调冷媒泄漏无法制冷,车身附件及电器空调问题,2020-06-21 09:49:29.260,用户评分
479048,上汽通用别克,2019款 20T 两驱 领先型 国V,别克昂科威变速箱异响共振 中控花屏,变速器异响变速器共振车身附件及电器影音系统故障,2020-06-21 09:49:29.272,处理反馈
479046,一汽-大众,2018款 330TSI 领先型,一汽大众迈腾变速箱异响顿挫严重,变速器异响变速器顿挫,2020-06-21 09:49:29.294,用户评分
479045,吉利汽车,2017款 1.5L 自动 幸福版,吉利远景变速箱失效险些造成事故,变速器电脑板故障,2020-06-21 09:49:29.307,用户评分
479044,华晨中华,2018款 1.5T 手动 豪华型,华晨中华V6多媒体自动重启厂家不提供配件,车身附件及电器影音系统故障,2020-06-21 09:49:29.318,信息审核
479042,东风雪铁龙,2014款 1.6L 手动 舒适型,东风雪铁龙爱丽舍4S店维修不到位 维修质量差,服务态度态度蛮横人员技术维修技术差,2020-06-21 09:49:29.326,处理反馈
479041,东风标致,2015款 1.6T 自动 劲驰版,东风标致308S发动机正时链条异响,发动机异响发动机正时链条及齿轮故障,2020-06-21 09:49:29.336,处理反馈
479040,上汽通用别克,2017款 15N 自动 豪华型,别克英朗发动机漏油 变速箱渗油,发动机漏油变速器漏油,2020-06-21 09:49:29.347,处理反馈
479039,一汽马自达,2020款 2.0L 自动 两驱 蓝天品位版,一汽马自达CX-4车身异响 后备箱异响,车身附件及电器车内异响车身附件及电器车身异响,2020-06-21 09:49:29.356,用户评分
479038,众泰汽车,2017款 1.8T 双离合 尊享型,众泰T700排气管中段破裂4S店无配件,车身附件及电器部件开裂配件争议无零配件,2020-06-21 09:49:29.371,处理反馈
479036,东风日产,2016款 2.0L CVT 精英版,东风日产逍客1000转变速箱顿挫抖动,变速器顿挫变速器抖动,2020-06-21 09:49:29.381,用户评分
479035,长城汽车,2017款 VV5 超豪型,WEY VV5车门把手断裂4S店不予索赔,车身附件及电器车门把手故障服务态度不予索赔,2020-06-21 09:49:29.391,处理反馈
479034,上汽集团,2018款 eRX5 50T  混动尊享版,上汽荣威RX5新能源动力消失功能受限,变速器故障灯亮,2020-06-21 09:49:29.401,处理反馈
479033,长城汽车,2019款 2.0T 两驱 升级款超豪型 国V,WEY VV5冷车启动怠速高 变速箱顿挫,发动机怠速不稳变速器顿挫,2020-06-21 09:49:29.412,用户评分
479030,一汽-大众奥迪,2019款 40 TFSI 豪华动感型,一汽大众奥迪A6L发动机无法启动,发动机无法启动,2020-06-21 09:49:29.421,信息审核
479027,东风日产,2018款 1.5L CVT 智联豪华版,东风日产劲客安全气囊故障灯亮无法解决,车身附件及电器气囊故障,2020-06-21 09:49:29.432,处理反馈
479026,长城汽车,2018款 1.5T 自动 两驱 精英型 运动版 红标,哈弗H6空调不制冷维修多次无法解决,车身附件及电器空调问题人员技术多次返修,2020-06-21 09:49:29.442,处理反馈
479023,一汽马自达,2020款 2.5L 蓝天尊崇版,一汽马自达阿特兹车门中控异响及座椅生锈,车身附件及电器车身生锈车身附件及电器中控台异响车身附件及电器车身异响车身附件及电器密封条损坏,2020-06-21 09:49:29.450,用户评分
479021,长城汽车,2019款 2.0T 四驱 极智运动版,哈弗F7x车身B柱异响希望厂家处理问题,车身附件及电器车身异响,2020-06-21 09:49:30.392,用户评分
479020,广汽乘用车,2017款 235T 手动 两驱 豪华版,广汽传祺GS4车身多处生锈存在质量问题,车身附件及电器车身生锈,2020-06-21 09:49:30.409,用户评分
